iteration,duration,findLastItemDuration,getItemTextDuration
397,251,11,10
398,198,10,8
399,288,6,11
400,198,11,8
401,190,6,9
402,253,8,9
403,187,6,10
404,189,7,8
405,197,6,10
406,268,6,9
407,193,7,9
408,189,6,9
409,185,7,8
410,264,8,8
411,245,6,9
412,191,10,6
413,269,7,8
414,199,6,11
415,194,7,9
416,190,7,8
417,275,7,9
418,198,7,8
419,198,7,8
420,268,7,10
421,198,8,8
422,189,7,9
423,190,7,9
424,277,7,8
425,276,7,8
426,192,5,11
427,270,7,8
428,202,6,9
429,195,6,9
430,201,6,9
431,274,6,9
432,196,7,9
433,191,6,9
434,280,6,9
435,208,7,8
436,204,6,9
437,264,7,11
438,210,11,9
439,253,7,8
440,201,6,12
441,287,6,9
442,209,12,8
443,199,7,9
444,288,11,8
445,207,7,8
446,202,6,10
447,282,7,10
448,207,6,11
449,222,7,11
450,200,7,9
451,287,7,10
452,255,6,9
453,205,10,6
454,291,7,9
455,203,7,10
456,200,6,9
457,287,7,10
458,198,7,9
459,209,7,9
460,289,8,10
461,209,7,5
462,202,7,8
463,279,11,8
464,211,10,10
465,215,14,9
466,333,6,11
467,215,7,8
468,209,7,9
469,210,6,11
470,291,6,10
471,209,7,8
472,226,10,9
473,299,10,9
474,211,7,9
475,217,7,15
476,300,7,9
477,214,7,10
478,267,10,11
479,303,6,11
480,205,7,8
481,213,7,10
482,305,7,6
483,214,7,9
484,215,7,10
485,306,7,9
486,211,6,11
487,208,7,9
488,300,7,9
489,212,7,10
490,216,7,11
491,361,10,10
492,220,7,9
493,244,11,10
494,309,6,9
495,208,7,9
496,289,7,6
497,225,11,10
498,213,7,5
499,294,11,9
500,216,7,6
501,217,7,8
502,302,6,9
503,219,7,8
504,269,10,10
505,314,11,8
506,214,7,9
507,221,7,11
508,314,7,8
509,221,7,10
510,218,7,10
511,316,6,10
512,223,5,10
513,296,7,9
514,244,11,9
515,218,7,9
516,367,11,6
517,224,6,10
518,218,7,5
519,319,7,11
520,217,7,9
521,217,7,9
522,318,7,10
523,219,7,10
524,309,7,9
525,225,7,10
526,221,7,11
527,320,7,9
528,277,7,67
529,223,11,8
530,327,7,10
531,222,7,6
532,314,7,11
533,227,7,9
534,224,18,11
535,348,10,10
536,227,11,10
537,226,8,5
538,333,7,9
539,224,8,10
540,382,11,10
541,231,11,8
542,228,7,10
543,342,7,11
544,220,8,8
545,226,7,10
546,334,7,11
547,229,7,8
548,332,7,9
549,229,11,10
550,227,11,9
551,334,7,9
552,282,11,7
553,314,11,9
554,240,6,13
555,223,7,8
556,364,11,10
557,232,7,9
558,228,10,9
559,335,7,9
560,232,11,8
561,326,8,10
562,239,6,10
563,236,7,9
564,405,10,10
565,229,11,6
566,230,7,11
567,344,10,8
568,231,8,8
569,343,7,9
570,237,7,10
571,229,7,10
572,343,8,9
573,237,11,8
574,232,7,10
575,399,7,7
576,241,10,11
577,368,10,10
578,243,11,8
579,234,11,8
580,347,11,8
581,246,7,11
582,333,7,9
583,245,11,10
584,232,7,9
585,406,11,6
586,236,9,6
587,230,7,12
588,352,7,11
589,243,11,8
590,342,7,11
591,237,6,10
592,241,7,10
593,359,11,9
594,235,7,10
595,240,7,9
596,412,11,10
597,255,11,9
598,355,11,10
599,241,10,9
600,236,8,10
601,361,7,11
602,236,7,9
603,356,7,11
604,249,7,11
605,243,8,9
606,361,7,9
607,297,11,10
608,344,11,9
609,251,7,12
610,234,7,9
611,364,11,10
612,247,7,9
613,243,8,9
614,361,7,10
615,233,8,5
616,385,11,11
617,245,11,10
618,301,6,11
619,359,7,9
620,243,8,9
621,366,7,10
622,247,7,9
623,246,8,8
624,361,8,8
625,245,8,10
626,369,12,8
627,249,7,9
628,244,8,8
629,425,7,11
630,248,12,8
631,359,8,9
632,249,8,9
633,249,7,11
634,369,8,9
635,247,8,10
636,386,11,10
637,246,6,10
638,247,8,10
639,365,7,11
640,308,11,9
641,250,11,11
642,374,7,11
643,241,8,8
644,379,8,10
645,255,7,9
646,245,7,9
647,371,11,6
648,254,11,8
649,374,7,10
650,303,6,7
651,252,6,10
652,373,8,9
653,287,13,10
654,378,12,8
655,252,6,12
656,244,7,6
657,378,8,9
658,255,7,9
659,368,7,9
660,318,8,8
661,255,7,10
662,390,7,10
663,248,7,9
664,372,7,11
665,256,11,9
666,254,8,8
