iteration,duration,findLastItemDuration,getItemTextDuration
397,118,9,11
398,114,6,12
399,116,6,12
400,112,6,9
401,114,6,12
402,112,6,11
403,118,6,9
404,117,6,13
405,115,7,12
406,113,6,11
407,113,6,11
408,113,6,12
409,181,8,11
410,123,6,11
411,122,6,11
412,183,6,12
413,112,6,8
414,113,6,11
415,120,7,11
416,114,6,12
417,114,6,12
418,118,6,12
419,119,6,11
420,116,5,12
421,118,6,11
422,113,5,12
423,115,6,12
424,114,6,12
425,113,6,9
426,152,6,12
427,113,7,11
428,114,6,12
429,116,6,13
430,116,6,11
431,113,6,11
432,114,6,12
433,117,6,11
434,118,6,12
435,116,6,12
436,114,7,11
437,114,5,12
438,172,6,74
439,111,8,11
440,114,7,11
441,115,7,11
442,115,6,12
443,115,6,11
444,115,6,12
445,114,6,12
446,114,6,12
447,114,7,8
448,117,6,12
449,115,6,11
450,116,6,11
451,114,6,12
452,118,6,12
453,116,6,12
454,115,6,11
455,116,7,11
456,114,7,12
457,115,6,11
458,116,6,9
459,114,6,8
460,115,7,11
461,317,11,15
462,199,7,9
463,130,10,14
464,120,6,13
465,126,7,17
466,116,6,12
467,161,6,11
468,112,7,11
469,114,7,12
470,114,7,8
471,116,6,11
472,116,6,12
473,116,6,11
474,116,6,12
475,118,6,12
476,117,6,9
477,120,7,12
478,115,6,12
479,114,7,11
480,115,6,12
481,117,7,11
482,114,6,8
483,117,7,11
484,114,7,11
485,116,6,9
486,114,6,12
487,116,6,12
488,183,74,11
489,111,6,12
490,119,6,12
491,117,6,12
492,114,6,9
493,115,6,11
494,117,6,12
495,115,6,11
496,113,7,8
497,114,6,12
498,116,6,12
499,114,7,11
500,117,7,12
501,115,6,12
502,118,6,12
503,116,6,12
504,115,7,11
505,113,7,11
506,115,6,12
507,116,6,11
508,122,6,13
509,121,7,12
510,150,6,12
511,109,7,8
512,115,7,11
513,119,6,12
514,183,6,12
515,111,7,11
516,118,6,12
517,114,7,11
518,115,6,12
519,116,6,12
520,115,6,11
521,123,10,13
522,120,6,11
523,118,6,13
524,114,7,11
525,114,6,9
526,121,6,12
527,117,6,12
528,117,6,12
529,119,7,12
530,119,6,15
531,120,6,12
532,116,6,12
533,116,7,11
534,117,7,11
535,117,7,11
536,118,6,12
537,116,7,11
538,115,7,11
539,116,7,11
540,270,10,9
541,146,6,12
542,120,6,12
543,114,6,12
544,119,6,12
545,116,6,12
546,119,6,12
547,118,6,12
548,114,7,11
549,118,6,11
550,115,6,12
551,150,6,12
552,111,6,8
553,120,7,12
554,119,7,11
555,116,6,12
556,120,6,12
557,118,6,12
558,116,7,11
559,118,6,12
560,115,6,9
561,114,5,12
562,115,6,12
563,121,9,12
564,118,6,12
565,179,7,11
566,114,7,13
567,119,9,11
568,118,6,9
569,116,7,11
570,118,6,12
571,116,6,12
572,121,7,11
573,115,6,12
574,119,6,12
575,118,6,12
576,121,9,11
577,117,7,11
578,119,9,11
579,121,7,14
580,117,7,11
581,122,7,11
582,121,6,11
583,116,6,9
584,116,6,11
585,341,14,13
586,134,6,13
587,130,6,14
588,118,7,12
589,198,8,11
590,122,7,12
591,173,6,12
592,115,8,11
593,121,8,11
594,118,7,11
595,117,6,12
596,115,7,11
597,115,7,12
598,116,6,12
599,118,7,12
600,115,6,12
601,121,7,12
602,120,7,11
603,120,7,12
604,117,7,12
605,117,6,12
606,115,7,11
607,118,7,11
608,116,6,12
609,119,7,12
610,117,7,11
611,117,7,12
612,116,7,11
613,117,6,12
614,176,6,12
615,113,7,13
616,119,7,11
617,121,7,12
618,116,7,11
619,117,7,12
620,119,6,12
621,118,7,11
622,116,7,11
623,116,7,11
624,116,6,12
625,117,7,12
626,121,6,12
627,117,6,12
628,114,6,9
629,116,7,12
630,115,7,12
631,119,7,12
632,118,7,12
633,117,7,12
634,172,9,12
635,115,7,12
636,122,7,12
637,119,7,13
638,116,7,11
639,116,7,12
640,194,7,11
641,122,7,12
642,122,7,12
643,117,7,11
644,117,6,12
645,118,6,14
646,121,7,12
647,116,6,12
648,117,7,12
649,117,8,11
650,117,7,11
651,120,6,12
652,117,7,11
653,117,7,11
654,116,6,12
655,114,7,11
656,124,9,16
657,117,7,11
658,118,7,11
659,123,11,11
660,120,7,12
661,118,7,12
