1,152,6,33
2,103,11,9
3,114,6,10
4,107,13,8
5,113,4,8
6,109,14,8
7,109,4,8
8,114,4,11
9,112,15,9
10,106,3,8
11,108,4,8
12,108,15,8
13,106,4,7
14,112,6,8
15,113,4,8
16,108,4,8
17,110,4,8
18,116,5,10
19,116,5,10
20,120,5,10
21,118,4,11
22,116,6,8
23,115,5,10
24,115,5,10
25,114,5,11
26,115,5,10
27,116,5,10
28,117,5,10
29,115,5,10
30,116,5,8
31,117,5,10
32,116,5,10
33,120,5,10
34,121,5,11
35,118,5,10
36,117,5,7
37,115,5,8
38,120,5,10
39,117,6,10
40,120,5,8
41,119,5,11
42,119,5,10
43,118,5,10
44,118,5,10
45,121,6,10
46,118,5,10
47,120,5,10
48,122,5,10
49,120,5,10
50,125,5,11
51,122,5,10
52,123,5,11
53,123,5,10
54,125,5,11
55,125,5,10
56,132,13,10
57,125,5,10
58,170,5,10
59,146,5,10
60,145,5,11
61,119,5,10
62,161,5,10
63,165,6,10
64,156,5,11
65,127,5,11
66,168,5,11
67,215,5,93
68,157,6,11
69,295,11,12
70,181,9,11
71,197,74,12
72,163,6,49
73,152,7,8
74,124,5,10
75,166,5,10
76,196,5,84
77,152,6,10
78,124,5,10
79,158,5,10
80,154,5,41
81,195,6,11
82,125,5,10
83,149,5,10
84,168,41,10
85,162,5,11
86,161,5,10
87,129,5,12
88,166,5,10
89,160,6,42
90,168,5,11
91,164,5,11
92,129,6,10
93,129,6,10
94,127,5,10
95,128,5,11
96,126,6,7
97,128,5,11
98,129,6,10
99,130,6,10
100,129,6,11
101,135,5,11
102,281,5,12
103,132,5,10
104,133,5,10
105,143,6,11
106,135,6,10
107,136,5,10
108,134,5,10
109,138,5,10
110,134,5,10
111,134,5,10
112,134,5,10
113,142,8,10
114,138,5,11
115,137,5,11
116,137,5,11
117,136,6,10
118,138,6,10
119,136,6,10
120,138,6,10
121,139,5,10
122,140,6,11
123,139,6,10
124,142,5,11
125,145,6,10
126,141,6,10
127,151,5,10
128,140,6,10
129,141,6,11
130,140,5,10
131,262,15,13
132,158,6,11
133,155,6,12
134,151,9,11
135,150,7,11
136,150,7,10
